Classifieur;nbepochs;batchsize;moteur;base_de_ref;AUC avant suppression évènement trop court;AUC après supression évènement trop court
2;25;8;2;sans homsap;0.8745083;0.8901214
2;50;8;2;sans homsap;0.9222913;0.9462594
2;75;8;2;sans homsap;0.8981539;0.9179724
2;100;8;2;sans homsap;0.9044229;0.9278029
2;125;8;2;sans homsap;0.9137426;0.9369566
2;150;8;2;sans homsap;0.89336;0.912455
2;175;8;2;sans homsap;0.9166145;0.9354424
2;200;8;2;sans homsap;0.9286608;0.9478997
6;25;8;2;avec homsap;0.9131839;0.92934
6;50;8;2;avec homsap;0.9127928;0.9290991
6;75;8;2;avec homsap;0.9141449;0.9309
6;100;8;2;avec homsap;0.9191959;0.9366354
6;125;8;2;avec homsap;0.91524;0.9280552
6;150;8;2;avec homsap;0.9228165;0.9361995
6;175;8;2;avec homsap;0.9251855;0.9403634
6;200;8;2;avec homsap;0.9333542;0.9529239
3;25;16;2;sans homsap;0.893807;0.9138429
3;50;16;2;sans homsap;0.9177543;0.9358095
3;75;16;2;sans homsap;0.899819;0.9213563
3;100;16;2;sans homsap;0.9196317;0.9397669
3;125;16;2;sans homsap;0.9074513;0.9299135
3;150;16;2;sans homsap;0.9246044;0.9455367
3;175;16;2;sans homsap;0.9159217;0.9380578
3;200;16;2;sans homsap;0.9206486;0.9416022
7;25;16;2;avec homsap;0.9035401;0.9245452
7;50;16;2;avec homsap;0.9176873;0.9341577
7;75;16;2;avec homsap;0.9164469;0.9351557
7;100;16;2;avec homsap;0.925476;0.9454335
7;125;16;2;avec homsap;0.9091834;0.9293744
7;150;16;2;avec homsap;0.9125693;0.9341462
7;175;16;2;avec homsap;0.9173409;0.9393425
7;200;16;2;avec homsap;0.9187824;0.9396866
1;25;4;2;sans homsap;0.8835151;0.8931955
1;50;4;2;sans homsap;0.9111613;0.929535
1;75;4;2;sans homsap;0.9060991;0.9225493
1;100;4;2;sans homsap;0.9081106;0.9239143
1;125;4;2;sans homsap;0.9289514;0.9481635
1;150;4;2;sans homsap;0.9290631;0.9449861
1;175;4;2;sans homsap;0.9181231;0.9422905
1;200;4;2;sans homsap;0.9299347;0.9463511
4;25;32;2;sans homsap;0.9116418;0.9266443
4;50;32;2;sans homsap;0.9055851;0.9255546
4;75;32;2;sans homsap;0.903339;0.9207713
4;100;32;2;sans homsap;0.8999307;0.9194177
4;125;32;2;sans homsap;0.9015063;0.9191654
4;150;32;2;sans homsap;0.9069484;0.9256005
4;175;32;2;sans homsap;0.901484;0.9212187
4;200;32;2;sans homsap;0.9059874;0.9273096
5;25;4;2;avec homsap;0.853377;0.8610085
5;50;4;2;avec homsap;0.8806097;0.8995618
5;75;4;2;avec homsap;0.9144019;0.9254055
5;100;4;2;avec homsap;0.9175867;0.9336874
5;125;4;2;avec homsap;0.9166592;0.9332859
5;150;4;2;avec homsap;0.9147707;0.9269885
5;175;4;2;avec homsap;0.9227606;0.9325977
5;200;4;2;avec homsap;0.92675;0.9401913
8;25;32;2;avec homsap;0.8954944;0.9198192
8;50;32;2;avec homsap;0.9104684;0.9305215
8;75;32;2;avec homsap;0.9137426;0.9357751
8;100;32;2;avec homsap;0.9109937;0.9315882
8;125;32;2;avec homsap;0.906412;0.9266443
8;150;32;2;avec homsap;0.9085576;0.9301315
8;175;32;2;avec homsap;0.9056522;0.9263805
8;200;32;2;avec homsap;0.908714;0.9304985
9;25;4;2;avec_homsap_3000;0.8897059;0.909507
9;50;4;2;avec_homsap_3000;0.8821406;0.9026475
9;75;4;2;avec_homsap_3000;0.8948909;0.9116061
9;100;4;2;avec_homsap_3000;0.9206262;0.9362683
9;125;4;2;avec_homsap_3000;0.9294319;0.9406387
9;150;4;2;avec_homsap_3000;0.9227271;0.9371401
9;175;4;2;avec_homsap_3000;0.9318344;0.9443667
9;200;4;2;avec_homsap_3000;0.92304;0.9333089
10;25;8;2;avec_homsap_3000;0.892913;0.9150818
10;50;8;2;avec_homsap_3000;0.9113401;0.9270458
10;75;8;2;avec_homsap_3000;0.9129269;0.9280667
10;100;8;2;avec_homsap_3000;0.9318568;0.9446879
10;125;8;2;avec_homsap_3000;0.9276328;0.9444585
10;150;8;2;avec_homsap_3000;0.916838;0.9332286
10;175;8;2;avec_homsap_3000;0.925476;0.9400422
10;200;8;2;avec_homsap_3000;0.9156423;0.9313818
11;25;16;2;avec_homsap_3000;0.865021;0.8797632
11;50;16;2;avec_homsap_3000;0.9140555;0.9311065
11;75;16;2;avec_homsap_3000;0.9131504;0.9317947
11;100;16;2;avec_homsap_3000;0.9123905;0.9290761
11;125;16;2;avec_homsap_3000;0.9213079;0.9403175
11;150;16;2;avec_homsap_3000;0.9134409;0.9306706
11;175;16;2;avec_homsap_3000;0.913765;0.9288811
11;200;16;2;avec_homsap_3000;0.9088816;0.925979
